Time(s),True Position X(m),True Position Y(m),True Position Z(m),TRUKF Estimated Position X(m),TRUKF Estimated Position Y(m),TRUKF Estimated Position Z(m)
5.576000000000000227e+02,3.186509425201381518e+01,-1.213256284628786297e+01,-2.749021130325845164e+00,3.186863417712736180e+01,-1.434297737814330986e+01,-2.902451986967352848e+00
5.577000000000000455e+02,3.186509425201381518e+01,-1.210256284628786361e+01,-2.739447398407896195e+00,3.186875160315253552e+01,-1.434245550409919900e+01,-2.922451915431877545e+00
5.578000000000000682e+02,3.186509425201381518e+01,-1.207256284628786247e+01,-2.729753766811845672e+00,3.186883041039647324e+01,-1.434210660060608333e+01,-2.942451883445794447e+00
5.578999999999999773e+02,3.186509425201381518e+01,-1.204256284628786133e+01,-2.719938346674605434e+00,3.186888345689697388e+01,-1.434187374517081714e+01,-2.962451869186893294e+00
5.580000000000000000e+02,3.186509425201381518e+01,-1.201256284628786197e+01,-2.709999999999943121e+00,3.167610968775108304e+01,-1.429876637065046729e+01,-2.703637927653264050e+00
5.581000000000000227e+02,3.186509425201381518e+01,-1.198256284628786261e+01,-2.699938346674605860e+00,3.167689241349351192e+01,-1.429309531405103151e+01,-2.707259850444728944e+00
5.582000000000000455e+02,3.186509425201381518e+01,-1.195256284628786148e+01,-2.689753766811846081e+00,3.167742001740221625e+01,-1.428928858665814161e+01,-2.727256157718991325e+00
5.583000000000000682e+02,3.186509425201381518e+01,-1.192256284628786034e+01,-2.679447398407897030e+00,3.167777081540596029e+01,-1.428673091323680566e+01,-2.747254491461438519e+00
5.583999999999999773e+02,3.186509425201381518e+01,-1.189256284628786098e+01,-2.669021130325847313e+00,3.167799932449987566e+01,-1.428501064173993740e+01,-2.767253738559659837e+00
5.585000000000000000e+02,3.186509425201381518e+01,-1.186256284628786162e+01,-2.658477590650170086e+00,3.167814322918793124e+01,-1.428385500274149500e+01,-2.787253399504272533e+00
5.586000000000000227e+02,3.186509425201381518e+01,-1.183256284628786048e+01,-2.647820130483711676e+00,3.167823058738326836e+01,-1.428307270750943481e+01,-2.807253244599351216e+00
5.587000000000000455e+02,3.186509425201381518e+01,-1.180256284628785934e+01,-2.637052803287026403e+00,3.167828151971062667e+01,-1.428254048252060038e+01,-2.827253173134838704e+00
5.588000000000000682e+02,3.186509425201381518e+01,-1.177256284628785998e+01,-2.626180339887442816e+00,3.167830675542639440e+01,-1.428217689777183352e+01,-2.847253139927133248e+00
5.588999999999999773e+02,3.186509425201381518e+01,-1.174256284628786062e+01,-2.615208119311946522e+00,3.167831643682037779e+01,-1.428192597143120857e+01,-2.867253124162687516e+00
5.590000000000000000e+02,3.186509425201381518e+01,-1.171256284628785949e+01,-2.604142135623676246e+00,3.181097891884411411e+01,-1.390899831277288712e+01,-2.585325495586752620e+00
5.591000000000000227e+02,3.186509425201381518e+01,-1.168256284628785835e+01,-2.592988960966549072e+00,3.181294548013956813e+01,-1.390399274264175133e+01,-2.600052335838981765e+00
5.592000000000000455e+02,3.186509425201381518e+01,-1.165256284628785899e+01,-2.581755705045795324e+00,3.181425228353028700e+01,-1.390063223324003694e+01,-2.620049085385210308e+00
5.593000000000000682e+02,3.186509425201381518e+01,-1.162256284628785963e+01,-2.570449971294264113e+00,3.181511876895413948e+01,-1.389837617394594993e+01,-2.640047625181773494e+00
5.593999999999999773e+02,3.186509425201381518e+01,-1.159256284628785849e+01,-2.559079809994737165e+00,3.181568946115074326e+01,-1.389685942454765488e+01,-2.660046968616416319e+00
