Time(s),True Position X(m),True Position Y(m),True Position Z(m),UKF Estimated Position X(m),UKF Estimated Position Y(m),UKF Estimated Position Z(m)
8.920000000000000284e+01,1.409893861509933899e+01,-8.520074804602318252e+00,-5.973819660112417829e+00,1.580910376215741309e+01,-7.285641261251186052e+00,-5.927422268322946053e+00
8.930000000000001137e+01,1.414328740407643892e+01,-8.492083196167820702e+00,-5.972947196712834916e+00,1.590953484405817875e+01,-7.217922173323280788e+00,-5.925830598831765883e+00
8.940000000000000568e+01,1.418759648784637228e+01,-8.464231651180801563e+00,-5.972179869516149431e+00,1.601045423003866830e+01,-7.150213876078332476e+00,-5.924288399404723293e+00
8.950000000000000000e+01,1.423186574201787202e+01,-8.436520482397567022e+00,-5.971522409349691252e+00,1.611188214911564387e+01,-7.082519061551259654e+00,-5.922795997250151601e+00
8.960000000000000853e+01,1.427609504231150162e+01,-8.408950000998082430e+00,-5.970978869674013367e+00,1.621383554667732341e+01,-7.014847235573665074e+00,-5.921357300524611844e+00
8.970000000000000284e+01,1.432028426455997661e+01,-8.381520516582478209e+00,-5.970552601591963437e+00,1.631632741010597698e+01,-6.947219600985185650e+00,-5.919970019389857896e+00
8.980000000000001137e+01,1.436443328470852698e+01,-8.354232337167577072e+00,-5.970246233188014173e+00,1.641937271214566607e+01,-6.879658367136908481e+00,-5.918633766468296642e+00
8.990000000000000568e+01,1.440854197881525245e+01,-8.327085769183421249e+00,-5.970061653325253737e+00,1.652299149449214610e+01,-6.812182164000063267e+00,-5.917348321318083748e+00
9.000000000000000000e+01,1.445261022305145282e+01,-8.300081117469849445e+00,-5.969999999999917151e+00,1.647379983575623896e+01,-6.790125273112055382e+00,-5.925404199472282585e+00
9.010000000000000853e+01,1.449663789370199396e+01,-8.273218685273056039e+00,-5.970061653325254625e+00,1.657967896283559384e+01,-6.722562397393907929e+00,-5.924734299795154868e+00
9.020000000000000284e+01,1.454062486716563463e+01,-8.246498774242208896e+00,-5.970246233188014173e+00,1.668627219305071918e+01,-6.655128852033467268e+00,-5.924126316447615892e+00
9.030000000000001137e+01,1.458457101995539595e+01,-8.219921684426029884e+00,-5.970552601591963437e+00,1.679359852913937345e+01,-6.587829994061667804e+00,-5.923581897389617268e+00
9.040000000000000568e+01,1.462847622869889364e+01,-8.193487714269453548e+00,-5.970978869674013367e+00,1.690166883624877414e+01,-6.520674325167064467e+00,-5.923102203047395875e+00
9.050000000000000000e+01,1.467234037013868253e+01,-8.167197160610271567e+00,-5.971522409349691252e+00,1.701049003208397181e+01,-6.453674949849784070e+00,-5.922685977212918118e+00
9.060000000000000853e+01,1.471616332113261549e+01,-8.141050318675777220e+00,-5.972179869516149431e+00,1.712006582707502389e+01,-6.386850514907195020e+00,-5.922334110390224282e+00
9.070000000000000284e+01,1.475994495865418088e+01,-8.115047482079480901e+00,-5.972947196712834916e+00,1.723039439530700889e+01,-6.320219468244115291e+00,-5.922045755835007697e+00
9.080000000000001137e+01,1.480368515979284183e+01,-8.089188942817790107e+00,-5.973819660112417829e+00,1.734147162991503421e+01,-6.253794766941190630e+00,-5.921821424045049298e+00
9.090000000000000568e+01,1.484738380175439509e+01,-8.063474991266744496e+00,-5.974791880687916112e+00,1.745329116241860845e+01,-6.187586958936034165e+00,-5.921663536283585216e+00
9.100000000000000000e+01,1.489104076186130143e+01,-8.037905916178749166e+00,-5.975857864376186157e+00,1.699511577775303905e+01,-6.451850112930474168e+00,-5.932014078908720123e+00
9.110000000000000853e+01,1.493465591755304445e+01,-8.012482004679327474e+00,-5.977011039033313544e+00,1.709846305349235251e+01,-6.387228038343181424e+00,-5.933140016772259884e+00
9.120000000000000284e+01,1.497822914638646807e+01,-7.987203542263905831e+00,-5.978244294954067506e+00,1.720228537911750522e+01,-6.322819635369249625e+00,-5.934332191592176287e+00
9.130000000000001137e+01,1.502176032603611233e+01,-7.962070812794603825e+00,-5.979550028705597597e+00,1.730657245048906390e+01,-6.258636133741351415e+00,-5.935588345165896840e+00
9.140000000000000568e+01,1.506524933429456681e+01,-7.937084098497047435e+00,-5.980920190005125647e+00,1.741130841010678409e+01,-6.194684203572098369e+00,-5.936911753238685918e+00
9.150000000000000000e+01,1.510869604907282060e+01,-7.912243679957189357e+00,-5.982346331352614399e+00,1.751648262743417916e+01,-6.130969607793769427e+00,-5.938302865180059342e+00
9.160000000000000853e+01,1.515210034840058206e+01,-7.887549836118186164e+00,-5.983819660112417615e+00,1.762209738113655533e+01,-6.067485346873805696e+00,-5.939760870334623633e+00
9.170000000000000284e+01,1.519546211042663586e+01,-7.863002844277234615e+00,-5.985331092722798729e+00,1.772814722733604498e+01,-6.004225128605419570e+00,-5.941289397960041185e+00
9.180000000000001137e+01,1.523878121341919822e+01,-7.838602980082470140e+00,-5.986871310699112492e+00,1.783461698541145779e+01,-5.941187812299983051e+00,-5.942887386673881167e+00
9.190000000000000568e+01,1.528205753576622605e+01,-7.814350517529877749e+00,-5.988430818085359597e+00,1.794148958476372258e+01,-5.878360463102573874e+00,-5.944558227932507322e+00
9.200000000000000000e+01,1.532529095597578994e+01,-7.790245728960208282e+00,-5.989999999999916724e+00,1.725438001262039833e+01,-6.465462147141376903e+00,-5.943581792169816858e+00
9.210000000000000853e+01,1.536848135267639748e+01,-7.766288885055917746e+00,-5.991569181914473852e+00,1.735731158092196580e+01,-6.407389659930686321e+00,-5.943601091340177334e+00
9.220000000000000284e+01,1.541162860461733253e+01,-7.742480254838136844e+00,-5.993128689300720957e+00,1.746064100262302787e+01,-6.349495488569157686e+00,-5.943684704584796918e+00
9.230000000000001137e+01,1.545473259066901406e+01,-7.718820105663642295e+00,-5.994668907277034720e+00,1.756436475667861430e+01,-6.291764311017789879e+00,-5.943835248697997287e+00
