时间戳,真实位置X(m),真实位置Y(m),真实位置Z(m),EKF估计位置X(m),EKF估计位置Y(m),EKF估计位置Z(m),真实速度X(m/s),真实速度Y(m/s),真实速度Z(m/s),EKF估计速度X(m/s),EKF估计速度Y(m/s),EKF估计速度Z(m/s)
1.030000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.853458120652032193e+01,-6.176075155909821035e+00,-8.949745732465537174e-01,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,1.893442313431139779e+00,-5.085204543668132793e+00,-4.023859561805808838e+00
1.031000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.936252928867009260e+01,-4.102742649078214399e+00,-9.481795856213315332e-01,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,2.374521224531546792e+00,1.311260432211716287e+00,-2.863961723131911441e+00
1.032000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.730554340374026978e+01,-5.769673110707252306e+00,-1.016843642929059932e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-9.456887764567661891e-01,-3.312286574468001010e+00,-3.029143054179898709e+00
1.033000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.938479054601179641e+01,-5.554851164273329367e+00,-1.024196955561302858e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,4.007130893063161281e+00,-1.314006903516854008e+00,-4.508737184356498062e+00
1.034000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.822764325254671647e+01,-2.825935555670464616e+00,-8.633521424069914296e-01,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-1.809145767613835887e-01,6.832552677850780576e-01,-2.689207490067828221e+00
1.035000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.878590580684663180e+01,-4.954939208813716078e+00,-1.251429294956934335e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,1.357736618691664621e+00,-5.830747849876544819e+00,-4.362895140980393549e+00
1.036000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.978181873023464377e+01,-3.404865247824393926e+00,-1.188030295684246340e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,2.773857078740642024e+00,1.240127236105159625e+00,-3.886590464819750679e+00
1.037000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.718659196827432112e+01,-4.629436507076201579e+00,-1.136623575159156907e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-1.213859364510085470e+00,-2.537191982763928877e+00,-4.168089870551098919e+00
1.038000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.933759100923016305e+01,-4.587880363707118825e+00,-1.283291191046618707e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,4.058452993062919845e+00,-1.819064403738746227e+00,-5.882417150176083354e+00
1.039000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.804743527573997142e+01,-2.041477575619810914e+00,-1.166787215022328184e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-1.386519039100717887e-01,7.130833153138309566e-01,-3.417925278047134530e+00
