时间(s),真实位置X(m),真实位置Y(m),真实位置Z(m),TRUKF估计位置X(m),TRUKF估计位置Y(m),TRUKF估计位置Z(m)
6.864000000000000000e+03,-5.313770803078239624e+03,-3.282807819327032121e+03,0.000000000000000000e+00,1.674811603804972492e+03,-2.089037325672346924e+03,1.589547259192855000e-01
6.865000000000000000e+03,-5.313770803078239624e+03,-3.282807819327032121e+03,0.000000000000000000e+00,1.682512220533382788e+03,-2.082859696521433307e+03,-1.198161330233147442e-01
6.866000000000000000e+03,-5.313677301804899798e+03,-3.282919014253396199e+03,0.000000000000000000e+00,1.690220073058530716e+03,-2.076630151178797405e+03,7.049503509862900530e-02
6.867000000000000000e+03,-5.313677301804899798e+03,-3.282919014253396199e+03,0.000000000000000000e+00,1.697820585100076869e+03,-2.070453021965972312e+03,1.930148251183256558e-01
6.868000000000000000e+03,-5.313583800532888745e+03,-3.282919014253396199e+03,0.000000000000000000e+00,1.705441422360161596e+03,-2.064204973003164469e+03,-5.614641499489793353e-02
6.869000000000000000e+03,-5.313583800532888745e+03,-3.282919014253396199e+03,0.000000000000000000e+00,1.713084389894972674e+03,-2.057895149569396381e+03,-1.184209516500705495e-01
6.870000000000000000e+03,-5.313583800532888745e+03,-3.282919014253396199e+03,0.000000000000000000e+00,1.720671616729998959e+03,-2.051576735284527786e+03,5.610048480983545471e-02
6.871000000000000000e+03,-5.313490299260877691e+03,-3.282919014253396199e+03,0.000000000000000000e+00,1.728178428327526262e+03,-2.045287274498807164e+03,1.930235870428843592e-01
6.872000000000000000e+03,-5.313490299260877691e+03,-3.283030209180549718e+03,0.000000000000000000e+00,1.735768396495299612e+03,-2.038886884252345226e+03,8.087616786967946614e-02
6.873000000000000000e+03,-5.313490299260877691e+03,-3.283030209180549718e+03,0.000000000000000000e+00,1.743346176322920655e+03,-2.032440156541690612e+03,3.418602559022269893e-02
6.874000000000000000e+03,-5.313396797988866638e+03,-3.283030209180549718e+03,0.000000000000000000e+00,1.750862802111413657e+03,-2.025994626243673565e+03,-4.166513720409748683e-02
6.875000000000000000e+03,-5.313396797988866638e+03,-3.283030209180549718e+03,0.000000000000000000e+00,1.758350415433054422e+03,-2.019523311267074860e+03,7.712406003348215577e-02
6.876000000000000000e+03,-5.313396797988866638e+03,-3.283030209180549718e+03,0.000000000000000000e+00,1.765854496999141702e+03,-2.012989669799111198e+03,-8.473128786875387675e-02
6.877000000000000000e+03,-5.313303296716854675e+03,-3.283030209180549718e+03,0.000000000000000000e+00,1.773299966685148547e+03,-2.006454749050925557e+03,1.190991526168681813e-01
6.878000000000000000e+03,-5.313303296716854675e+03,-3.283141404106913797e+03,0.000000000000000000e+00,1.780754694181908235e+03,-1.999871292111751245e+03,1.435386286022213159e-03
6.879000000000000000e+03,-5.313209795444844531e+03,-3.283141404106913797e+03,0.000000000000000000e+00,1.787909289794388314e+03,-1.993502381422927556e+03,2.726349116925437799e-01
6.880000000000000000e+03,-5.313209795444844531e+03,-3.283141404106913797e+03,0.000000000000000000e+00,1.795274494581192357e+03,-1.986926212853371680e+03,1.532441072179982489e-01
6.881000000000000000e+03,-5.313303296716854675e+03,-3.283141404106913797e+03,0.000000000000000000e+00,1.802645522039256093e+03,-1.980266811493647538e+03,-6.158466113282243248e-02
6.882000000000000000e+03,-5.313209795444844531e+03,-3.283141404106913797e+03,0.000000000000000000e+00,1.809934878233066684e+03,-1.973630178089854098e+03,6.529809601403539776e-02
6.883000000000000000e+03,-5.313209795444844531e+03,-3.283141404106913797e+03,0.000000000000000000e+00,1.817168657766626211e+03,-1.967004337717652561e+03,1.808955749191321627e-01
6.884000000000000000e+03,-5.313209795444844531e+03,-3.283141404106913797e+03,0.000000000000000000e+00,1.824455966091474920e+03,-1.960285978754712914e+03,9.367085445336421901e-02
6.885000000000000000e+03,-5.313116294171504705e+03,-3.283252599033277420e+03,0.000000000000000000e+00,1.831680844122243570e+03,-1.953568933359142193e+03,9.507600140808807054e-02
6.886000000000000000e+03,-5.313116294171504705e+03,-3.283252599033277420e+03,0.000000000000000000e+00,1.838904148198496614e+03,-1.946801612781808672e+03,5.521566941256404737e-02
6.887000000000000000e+03,-5.313116294171504705e+03,-3.283252599033277420e+03,0.000000000000000000e+00,1.846021789080503140e+03,-1.940085447238337565e+03,1.926233320126963522e-01
6.888000000000000000e+03,-5.313022792899492742e+03,-3.283252599033277420e+03,0.000000000000000000e+00,1.853202929744317544e+03,-1.933252186432044937e+03,-6.549814192275416058e-02
6.889000000000000000e+03,-5.313022792899492742e+03,-3.283252599033277420e+03,0.000000000000000000e+00,1.860320178174259127e+03,-1.926427483300666609e+03,6.975654203978984280e-02
