时间(s),真实位置X(m),真实位置Y(m),真实位置Z(m),ESKF估计位置X(m),ESKF估计位置Y(m),ESKF估计位置Z(m)
2.455000000000000000e+03,-1.419816819073260831e+03,1.806917557978756861e+02,0.000000000000000000e+00,-1.335974182747977920e+03,2.210401333717349246e+02,5.320066150728488541e-01
2.456000000000000000e+03,-1.421686844517468671e+03,1.792462217511956055e+02,0.000000000000000000e+00,-1.336035335067646884e+03,2.208698189963324126e+02,5.391756976179389316e-01
2.457000000000000000e+03,-1.423463368690994457e+03,1.778006877045155250e+02,0.000000000000000000e+00,-1.336095527364999725e+03,2.206946637645314979e+02,5.425331079438072690e-01
2.458000000000000000e+03,-1.425239892863191244e+03,1.763551536586255395e+02,0.000000000000000000e+00,-1.336153769192337904e+03,2.205258951931128593e+02,5.500873950969586978e-01
2.459000000000000000e+03,-1.427016417035388258e+03,1.749096196119454589e+02,0.000000000000000000e+00,-1.336218940645857401e+03,2.203541725723983404e+02,5.526074056373561083e-01
2.460000000000000000e+03,-1.428886442480924870e+03,1.735752804924192674e+02,0.000000000000000000e+00,-1.336279077015018629e+03,2.201846161364825605e+02,5.609798522425933909e-01
2.461000000000000000e+03,-1.430662966653121430e+03,1.720185515193753645e+02,0.000000000000000000e+00,-1.355379529049423809e+03,2.098170168774586841e+02,5.744481647156555182e-01
2.462000000000000000e+03,-1.432439490826647216e+03,1.705730174726952839e+02,0.000000000000000000e+00,-1.355416049732343708e+03,2.096341363837572942e+02,5.771053562080454835e-01
2.463000000000000000e+03,-1.434216014998843775e+03,1.691274834268052984e+02,0.000000000000000000e+00,-1.355458989270679240e+03,2.094686186052234689e+02,5.828536522550791243e-01
2.464000000000000000e+03,-1.435899037899029963e+03,1.675707544537614240e+02,0.000000000000000000e+00,-1.355510428138519273e+03,2.092904115917298213e+02,5.958653120681235427e-01
2.465000000000000000e+03,-1.437675562072555294e+03,1.660140254807175211e+02,0.000000000000000000e+00,-1.355576833189361196e+03,2.091125484619566066e+02,6.089405328480796964e-01
2.466000000000000000e+03,-1.439452086244752081e+03,1.644572965076736182e+02,0.000000000000000000e+00,-1.355638952772429320e+03,2.089440456158280028e+02,6.251788296193019345e-01
