时间(s),真实位置X(m),真实位置Y(m),真实位置Z(m),UKF估计位置X(m),UKF估计位置Y(m),UKF估计位置Z(m)
7.539000000000000000e+03,-5.331349042260171700e+03,-3.268241283936237778e+03,0.000000000000000000e+00,-5.338844716907351540e+03,-3.275365421373808203e+03,-2.178165012009886103e-02
7.540000000000000000e+03,-5.331349042260171700e+03,-3.268241283936237778e+03,0.000000000000000000e+00,-5.338849187514126243e+03,-3.275366452271402522e+03,-2.233688975717240677e-02
7.541000000000000000e+03,-5.331442543532182754e+03,-3.268241283936237778e+03,0.000000000000000000e+00,-5.339087605094260653e+03,-3.275312249873834844e+03,-1.408692020207889112e-02
7.542000000000000000e+03,-5.331442543532182754e+03,-3.268241283936237778e+03,0.000000000000000000e+00,-5.339092771792322310e+03,-3.275314394308630654e+03,-1.306487817745598939e-02
7.543000000000000000e+03,-5.331442543532182754e+03,-3.268130089009874155e+03,0.000000000000000000e+00,-5.339097731148496678e+03,-3.275316704982711599e+03,-1.203954880731160360e-02
7.544000000000000000e+03,-5.331536044804194717e+03,-3.268130089009874155e+03,0.000000000000000000e+00,-5.339102482493181014e+03,-3.275319182164721497e+03,-1.101060877104700908e-02
7.545000000000000000e+03,-5.331536044804194717e+03,-3.268130089009874155e+03,0.000000000000000000e+00,-5.339107024831348099e+03,-3.275321826483783298e+03,-9.978376682079084792e-03
7.546000000000000000e+03,-5.331629546077533632e+03,-3.268130089009874155e+03,0.000000000000000000e+00,-5.339111357085486816e+03,-3.275324638978278017e+03,-8.942520822363773242e-03
7.547000000000000000e+03,-5.331723047349544686e+03,-3.268130089009874155e+03,0.000000000000000000e+00,-5.339115478755749791e+03,-3.275327620103293157e+03,-7.903169513309219602e-03
7.548000000000000000e+03,-5.331723047349544686e+03,-3.268130089009874155e+03,0.000000000000000000e+00,-5.339119389168623456e+03,-3.275330770360847964e+03,-6.860663535031761434e-03
7.549000000000000000e+03,-5.331723047349544686e+03,-3.268130089009874155e+03,0.000000000000000000e+00,-5.339123087204363401e+03,-3.275334090482800093e+03,-5.814379319954324915e-03
7.550000000000000000e+03,-5.331816548621556649e+03,-3.268018894083510077e+03,0.000000000000000000e+00,-5.339126572110602865e+03,-3.275337581970050451e+03,-4.765216545871562431e-03
7.551000000000000000e+03,-5.331816548621556649e+03,-3.268018894083510077e+03,0.000000000000000000e+00,-5.339378672642568745e+03,-3.275252474289846305e+03,-1.340659555698768719e-02
7.552000000000000000e+03,-5.331910049893567702e+03,-3.268018894083510077e+03,0.000000000000000000e+00,-5.339382594882979902e+03,-3.275253495008286336e+03,-1.369744125474761653e-02
7.553000000000000000e+03,-5.331910049893567702e+03,-3.268018894083510077e+03,0.000000000000000000e+00,-5.339386258092654316e+03,-3.275254595734539180e+03,-1.399093768771961926e-02
7.554000000000000000e+03,-5.331910049893567702e+03,-3.268018894083510077e+03,0.000000000000000000e+00,-5.339389660236403870e+03,-3.275255775828401966e+03,-1.428759871325809699e-02
7.555000000000000000e+03,-5.332003551165577846e+03,-3.268018894083510077e+03,0.000000000000000000e+00,-5.339392801116078772e+03,-3.275257036009408694e+03,-1.458640545019387891e-02
7.556000000000000000e+03,-5.332003551165577846e+03,-3.268018894083510077e+03,0.000000000000000000e+00,-5.339395679401073721e+03,-3.275258376014195164e+03,-1.488705762554280720e-02
7.557000000000000000e+03,-5.332003551165577846e+03,-3.268018894083510077e+03,0.000000000000000000e+00,-5.339398293857717363e+03,-3.275259795832678719e+03,-1.519127081793232581e-02
7.558000000000000000e+03,-5.332097052437588900e+03,-3.268018894083510077e+03,0.000000000000000000e+00,-5.339400642594777310e+03,-3.275261295780383080e+03,-1.549803671880803368e-02
7.559000000000000000e+03,-5.332097052437588900e+03,-3.267907699156356557e+03,0.000000000000000000e+00,-5.339402725739495509e+03,-3.275262875887559858e+03,-1.580693362798958612e-02
7.560000000000000000e+03,-5.332190553710929635e+03,-3.267907699156356557e+03,0.000000000000000000e+00,-5.339404541829771915e+03,-3.275264535814518240e+03,-1.611857822438791249e-02
7.561000000000000000e+03,-5.332190553710929635e+03,-3.267907699156356557e+03,0.000000000000000000e+00,-5.339689533581058640e+03,-3.275166078845561060e+03,-1.470834248765532336e-02
7.562000000000000000e+03,-5.332190553710929635e+03,-3.267907699156356557e+03,0.000000000000000000e+00,-5.339694964906622772e+03,-3.275162489407044632e+03,-1.544682796399216712e-02
7.563000000000000000e+03,-5.332190553710929635e+03,-3.267907699156356557e+03,0.000000000000000000e+00,-5.339700212301762804e+03,-3.275158803308941060e+03,-1.618888795004006648e-02
7.564000000000000000e+03,-5.332284054982940688e+03,-3.267907699156356557e+03,0.000000000000000000e+00,-5.339705275262749637e+03,-3.275155020591728317e+03,-1.693549009124993565e-02
7.565000000000000000e+03,-5.332377556254950832e+03,-3.267907699156356557e+03,0.000000000000000000e+00,-5.339710152198142168e+03,-3.275151138512092075e+03,-1.768687519893055032e-02
7.566000000000000000e+03,-5.332377556254950832e+03,-3.267907699156356557e+03,0.000000000000000000e+00,-5.339714842325345671e+03,-3.275147157023830005e+03,-1.844238679051825314e-02
7.567000000000000000e+03,-5.332471057526962795e+03,-3.267907699156356557e+03,0.000000000000000000e+00,-5.339719345733126829e+03,-3.275143075100088026e+03,-1.920146297957361914e-02
7.568000000000000000e+03,-5.332471057526962795e+03,-3.267907699156356557e+03,0.000000000000000000e+00,-5.339723660975756502e+03,-3.275138890349588110e+03,-1.996575087818684702e-02
7.569000000000000000e+03,-5.332471057526962795e+03,-3.267796504229992024e+03,0.000000000000000000e+00,-5.339727787148509378e+03,-3.275134602731446648e+03,-2.073433028107814213e-02
7.570000000000000000e+03,-5.332564558798973849e+03,-3.267796504229992024e+03,0.000000000000000000e+00,-5.339731723517208593e+03,-3.275130211202365899e+03,-2.150710006274655917e-02
7.571000000000000000e+03,-5.332564558798973849e+03,-3.267796504229992024e+03,0.000000000000000000e+00,-5.339967816694294015e+03,-3.275147345011195739e+03,-1.107173194129089377e-02
7.572000000000000000e+03,-5.332564558798973849e+03,-3.267796504229992024e+03,0.000000000000000000e+00,-5.339973050513024646e+03,-3.275146407158361399e+03,-1.120856786557899304e-02
7.573000000000000000e+03,-5.332658060072313674e+03,-3.267796504229992024e+03,0.000000000000000000e+00,-5.339978093060988613e+03,-3.275145471684125368e+03,-1.134766006610143929e-02
7.574000000000000000e+03,-5.332658060072313674e+03,-3.267796504229992024e+03,0.000000000000000000e+00,-5.339982943252322002e+03,-3.275144537547890650e+03,-1.148763936250682405e-02
7.575000000000000000e+03,-5.332658060072313674e+03,-3.267796504229992024e+03,0.000000000000000000e+00,-5.339987601209821150e+03,-3.275143605925846714e+03,-1.162832459804075819e-02
7.576000000000000000e+03,-5.332751561344323818e+03,-3.267796504229992024e+03,0.000000000000000000e+00,-5.339992066359256569e+03,-3.275142675900777249e+03,-1.177100438608481153e-02
7.577000000000000000e+03,-5.332751561344323818e+03,-3.267796504229992024e+03,0.000000000000000000e+00,-5.339996337092961767e+03,-3.275141747108536947e+03,-1.191555304116184016e-02
7.578000000000000000e+03,-5.332751561344323818e+03,-3.267796504229992024e+03,0.000000000000000000e+00,-5.340000413670848502e+03,-3.275140820800748770e+03,-1.206081621162196499e-02
7.579000000000000000e+03,-5.332845062616335781e+03,-3.267796504229992024e+03,0.000000000000000000e+00,-5.340004295289880247e+03,-3.275139895447733579e+03,-1.220728954488180251e-02
7.580000000000000000e+03,-5.332845062616335781e+03,-3.267796504229992024e+03,0.000000000000000000e+00,-5.340007981434533576e+03,-3.275138971583332022e+03,-1.235587137447176354e-02
7.581000000000000000e+03,-5.332938563888347744e+03,-3.267796504229992024e+03,0.000000000000000000e+00,-5.340243690025868091e+03,-3.275179161026632300e+03,-1.982408793114804127e-02
7.582000000000000000e+03,-5.332938563888347744e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.340248662541420344e+03,-3.275180134507472758e+03,-2.101557419663278858e-02
7.583000000000000000e+03,-5.332938563888347744e+03,-3.267796504229992024e+03,0.000000000000000000e+00,-5.340253445252965321e+03,-3.275181160182590247e+03,-2.221249998721466778e-02
7.584000000000000000e+03,-5.333125566432368942e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.340258037825609790e+03,-3.275182238907791543e+03,-2.341566573339122492e-02
7.585000000000000000e+03,-5.333125566432368942e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.340262439081870980e+03,-3.275183370437158374e+03,-2.462551734087894961e-02
7.586000000000000000e+03,-5.333125566432368942e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.340266648374639772e+03,-3.275184555539080975e+03,-2.584043598169602496e-02
7.587000000000000000e+03,-5.333219067705708767e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.340270666052409069e+03,-3.275185794974173405e+03,-2.706162043297785647e-02
7.588000000000000000e+03,-5.333219067705708767e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.340274491092583048e+03,-3.275187088196240438e+03,-2.828938721093265940e-02
7.589000000000000000e+03,-5.333219067705708767e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.340278122558313044e+03,-3.275188437311453526e+03,-2.952327260786548335e-02
7.590000000000000000e+03,-5.333312568977720730e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.340281560423103656e+03,-3.275189842634423258e+03,-3.076272328505443021e-02
7.591000000000000000e+03,-5.333312568977720730e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.340498892574833917e+03,-3.275219293976233530e+03,-1.192251770461809184e-02
7.592000000000000000e+03,-5.333312568977720730e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.340501873638055258e+03,-3.275222420512800454e+03,-1.218957723257373116e-02
7.593000000000000000e+03,-5.333406070249729964e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.340504610632284312e+03,-3.275225653869219968e+03,-1.245848125592115274e-02
7.594000000000000000e+03,-5.333406070249729964e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.340507103065076080e+03,-3.275228994428709484e+03,-1.272902731536496024e-02
7.595000000000000000e+03,-5.333499571521741927e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.340509350417960377e+03,-3.275232442982345674e+03,-1.300056295998692352e-02
7.596000000000000000e+03,-5.333499571521741927e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.340511351200679201e+03,-3.275236000550736208e+03,-1.327494924723984782e-02
7.597000000000000000e+03,-5.333499571521741927e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.340513103799719829e+03,-3.275239668190901284e+03,-1.355115836115288602e-02
7.598000000000000000e+03,-5.333593072793753890e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.340514608140849305e+03,-3.275243446750766452e+03,-1.382882084736397621e-02
7.599000000000000000e+03,-5.333593072793753890e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.340515863584692852e+03,-3.275247336811862624e+03,-1.410806810712098014e-02
7.600000000000000000e+03,-5.333593072793753890e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.340516868197522854e+03,-3.275251339665164778e+03,-1.438967309826490182e-02
